Date,Close
2015-04-15,184.9819793701172
2015-04-16,184.92919921875
2015-04-17,182.80189514160156
2015-04-20,184.47210693359375
2015-04-21,184.2523651123047
2015-04-22,185.1578369140625
2015-04-23,185.62368774414062
2015-04-24,186.054443359375
2015-04-27,185.28089904785156
2015-04-28,185.86985778808594
2015-04-29,185.10501098632812
2015-04-30,183.25021362304688
2015-05-01,185.23692321777344
2015-05-04,185.7643585205078
2015-05-05,183.6370086669922
2015-05-06,182.8809814453125
2015-05-07,183.6106719970703
2015-05-08,186.02806091308594
2015-05-11,185.1402130126953
2015-05-12,184.5863800048828
2015-05-13,184.62156677246094
2015-05-14,186.54672241210938
2015-05-15,186.7489013671875
2015-05-18,187.3291015625
2015-05-19,187.26754760742188
2015-05-20,187.13571166992188
2015-05-21,187.68069458007812
2015-05-22,187.23239135742188
2015-05-26,185.21932983398438
2015-05-27,186.97750854492188
2015-05-28,186.76651000976562
2015-05-29,185.60610961914062
2015-06-01,185.98411560058594
2015-06-02,185.79953002929688
2015-06-03,186.29180908203125
2015-06-04,184.71826171875
2015-06-05,184.4018096923828
2015-06-08,183.26780700683594
2015-06-09,183.24143981933594
2015-06-10,185.4391326904297
2015-06-11,186.03688049316406
2015-06-12,184.61276245117188
2015-06-15,183.82162475585938
2015-06-16,184.82373046875
2015-06-17,185.1226043701172
2015-06-18,187.04776000976562
2015-06-19,186.21739196777344
2015-06-22,187.17147827148438
2015-06-23,187.303955078125
2015-06-24,185.943603515625
2015-06-25,185.37828063964844
2015-06-26,185.3429412841797
2015-06-29,181.4562530517578
2015-06-30,181.83602905273438
2015-07-01,183.29359436035156
2015-07-02,183.12574768066406
2015-07-06,182.60455322265625
2015-07-07,183.75286865234375
2015-07-08,180.67005920410156
2015-07-09,180.9969024658203
2015-07-10,183.2759246826172
2015-07-13,185.2987823486328
2015-07-14,186.10260009765625
2015-07-15,186.04080200195312
2015-07-16,187.53366088867188
2015-07-17,187.69259643554688
2015-07-20,187.789794921875
2015-07-21,187.0477752685547
2015-07-22,186.71212768554688
2015-07-23,185.6609344482422
2015-07-24,183.7352752685547
2015-07-27,182.66644287109375
2015-07-28,184.91014099121094
2015-07-29,186.18215942382812
2015-07-30,186.22625732421875
2015-07-31,185.943603515625
2015-08-03,185.31642150878906
2015-08-04,184.9542694091797
2015-08-05,185.5637969970703
2015-08-06,184.04443359375
2015-08-07,183.69107055664062
2015-08-10,186.0054168701172
2015-08-11,184.3271026611328
2015-08-12,184.54794311523438
2015-08-13,184.3182373046875
2015-08-14,184.98960876464844
2015-08-17,186.0230712890625
2015-08-18,185.48428344726562
2015-08-19,184.01788330078125
2015-08-20,180.1754150390625
2015-08-21,174.75167846679688
2015-08-24,167.3933868408203
